5;5148;5148047;ANTIOQUIA;CARMEN DE VIBORAL;SAN JOSE
5;5154;5154009;ANTIOQUIA;CAUCASIA;EL MAN
5;5154;5154019;ANTIOQUIA;CAUCASIA;LA ARENOSA
5;5154;5154028;ANTIOQUIA;CAUCASIA;LA JAGUA
5;5154;5154040;ANTIOQUIA;CAUCASIA;QUEBRADONA  ARRIBA
5;5154;5154041;ANTIOQUIA;CAUCASIA;QUEBRADONA DEL MEDIO
5;5154;5154042;ANTIOQUIA;CAUCASIA;QUITASOL
5;5154;5154034;ANTIOQUIA;CAUCASIA;LAS PARCELAS
5;5154;5154021;ANTIOQUIA;CAUCASIA;LA CATALINA
5;5154;5154001;ANTIOQUIA;CAUCASIA;BELLA PALMIRA
5;5154;5154005;ANTIOQUIA;CAUCASIA;EL  BRASIL
5;5154;5154045;ANTIOQUIA;CAUCASIA;VERACRUZ
5;5154;5154039;ANTIOQUIA;CAUCASIA;PUERTO TRIANA
5;5154;5154043;ANTIOQUIA;CAUCASIA;RIO VIEJO
5;5154;5154004;ANTIOQUIA;CAUCASIA;CUTURÚ
5;5154;5154002;ANTIOQUIA;CAUCASIA;CACERI
5;5154;5154010;ANTIOQUIA;CAUCASIA;EL PALOMAR
5;5154;5154036;ANTIOQUIA;CAUCASIA;MARGENTO
5;5154;5154027;ANTIOQUIA;CAUCASIA;LA ILUSION
5;5154;5154044;ANTIOQUIA;CAUCASIA;SANTA ROSITA
5;5129;5129003;ANTIOQUIA;CALDAS;EL CANO
5;5197;5197068;ANTIOQUIA;COCORNÁ;SAN JUAN
5;5197;5197054;ANTIOQUIA;COCORNÁ;LAS PLAYAS
5;5197;5197012;ANTIOQUIA;COCORNÁ;EL CHOCO
5;5197;5197042;ANTIOQUIA;COCORNÁ;LA PEÑA
5;5138;5138026;ANTIOQUIA;CAÑASGORDAS;JUNTAS DE LA URAMITA
5;5138;5138007;ANTIOQUIA;CAÑASGORDAS;BUENOS AIRES
5;5129;5129010;ANTIOQUIA;CALDAS;LA RAYA
5;5129;5129014;ANTIOQUIA;CALDAS;SALADA PARTE ALTA
5;5129;5129013;ANTIOQUIA;CALDAS;PRIMAVERA
5;5129;5129005;ANTIOQUIA;CALDAS;EL RAIZAL
5;5129;5129007;ANTIOQUIA;CALDAS;LA CHUSCALA
5;5129;5129008;ANTIOQUIA;CALDAS;LA CORRALA
5;5129;5129011;ANTIOQUIA;CALDAS;LA VALERIA
5;5138;5138045;ANTIOQUIA;CAÑASGORDAS;MACANAL
5;5138;5138025;ANTIOQUIA;CAÑASGORDAS;INSOR
5;5138;5138012;ANTIOQUIA;CAÑASGORDAS;CIRIGUAN
5;5138;5138018;ANTIOQUIA;CAÑASGORDAS;EL MADERO
5;5138;5138002;ANTIOQUIA;CAÑASGORDAS;APUCARCO
5;5138;5138040;ANTIOQUIA;CAÑASGORDAS;LA UNION
5;5138;5138015;ANTIOQUIA;CAÑASGORDAS;EL CANELITO
5;5138;5138044;ANTIOQUIA;CAÑASGORDAS;LOS NARANJOS
5;5138;5138046;ANTIOQUIA;CAÑASGORDAS;MEDIA CUESTA
5;5138;5138049;ANTIOQUIA;CAÑASGORDAS;PASO ARRIBA
5;5138;5138016;ANTIOQUIA;CAÑASGORDAS;EL CANELO
5;5138;5138033;ANTIOQUIA;CAÑASGORDAS;LA CUSUTI
5;5138;5138030;ANTIOQUIA;CAÑASGORDAS;LA BALSITA
5;5138;5138019;ANTIOQUIA;CAÑASGORDAS;EL PASO
5;5154;5154011;ANTIOQUIA;CAUCASIA;EL PANDO
5;5172;5172029;ANTIOQUIA;CHIGORODÓ;SADEM CANDELARIA
5;5172;5172009;ANTIOQUIA;CHIGORODÓ;EL VENADO
5;5172;5172001;ANTIOQUIA;CHIGORODÓ;CHAMPITAS
5;5190;5190005;ANTIOQUIA;CISNEROS;EL BRASIL
5;5142;5142003;ANTIOQUIA;CARACOLÍ;CANUTILLO
5;5142;5142011;ANTIOQUIA;CARACOLÍ;LA MESA
5;5142;5142009;ANTIOQUIA;CARACOLÍ;LA CORTADA
5;5142;5142006;ANTIOQUIA;CARACOLÍ;EL BAGRE
5;5142;5142010;ANTIOQUIA;CARACOLÍ;LA MARÍA
5;5142;5142008;ANTIOQUIA;CARACOLÍ;EL PITAL
5;5142;5142012;ANTIOQUIA;CARACOLÍ;LAS AGUILAS
5;5142;5142007;ANTIOQUIA;CARACOLÍ;EL BUEY
5;5142;5142015;ANTIOQUIA;CARACOLÍ;SARDINAS
5;5142;5142004;ANTIOQUIA;CARACOLÍ;CASCARON
5;5142;5142002;ANTIOQUIA;CARACOLÍ;CANALONES
5;5145;5145008;ANTIOQUIA;CARAMANTA;LA CASCADA
5;5145;5145017;ANTIOQUIA;CARAMANTA;PELADEROS
5;5145;5145004;ANTIOQUIA;CARAMANTA;CAÑAS
5;5145;5145011;ANTIOQUIA;CARAMANTA;LA SIRENA
5;5154;5154022;ANTIOQUIA;CAUCASIA;LA CORCOBADA
5;5154;5154037;ANTIOQUIA;CAUCASIA;PALANCA
5;5154;5154015;ANTIOQUIA;CAUCASIA;EL TIGRE 2
5;5145;5145009;ANTIOQUIA;CARAMANTA;LA ESMERALDA
